task_id,condition,task_package,skills_dir,exposed_skill_count,covered_gold_count,gold_skill_count,complete_gold_coverage,extra_skill_count,context_tokens,copied_skill_dirs,bench_command,pass_rate_status
video-silence-remover,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/no_skill/environment/skills,0,0,7,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/video-silence-remover/no_skill,blocked
video-silence-remover,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_all/environment/skills,7,7,7,1.0,0,1960,audio-extractor;energy-calculator;segment-combiner;report-generator;silence-detector;video-processor;pause-detector,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/video-silence-remover/oracle_gold_all,blocked
video-silence-remover,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/bm25_top10/environment/skills,10,6,7,0.0,4,8695,report-generator;video-processor;video-frame-extraction;silence-detector;pause-detector;segment-combiner;fuzzing-python;ffmpeg-video-editing;audio-extractor;openai-vision,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/video-silence-remover/bm25_top10,blocked
video-silence-remover,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/hybrid_bm25_neural_top10/environment/skills,10,6,7,0.0,4,4969,report-generator;video-processor;silence-detector;segment-combiner;video-frame-extraction;pause-detector;ffmpeg-media-info;ffmpeg-video-editing;audio-extractor;ffmpeg-audio-processing,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/video-silence-remover/hybrid_bm25_neural_top10,blocked
video-silence-remover,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_plus_5_noise/environment/skills,12,7,7,1.0,5,4570,audio-extractor;energy-calculator;segment-combiner;report-generator;silence-detector;video-processor;pause-detector;suricata-rules-basics;pcap-triage-tshark;milp-solver-workflow;marker;manufacturing-failure-reason-codebook-normalization,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/video-silence-remover/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/video-silence-remover/oracle_gold_plus_5_noise,blocked
drone-planning-control,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/no_skill/environment/skills,0,0,6,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/drone-planning-control/no_skill,blocked
drone-planning-control,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_all/environment/skills,6,6,6,1.0,0,3099,position-controller-trajectory-planner;stepinfo-3d;flight-plan-parser;attitude-controller-planner;motor-model-dynamics;plot-quadrotor,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/drone-planning-control/oracle_gold_all,blocked
drone-planning-control,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/bm25_top10/environment/skills,10,6,6,1.0,4,7999,position-controller-trajectory-planner;plot-quadrotor;stepinfo-3d;flight-plan-parser;attitude-controller-planner;motor-model-dynamics;gamma-phase-associator;mip-solver-and-solution-audit;milp-solver-workflow;reflow-profile-compliance-toolkit,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/drone-planning-control/bm25_top10,blocked
drone-planning-control,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/hybrid_bm25_neural_top10/environment/skills,10,6,6,1.0,4,5156,position-controller-trajectory-planner;plot-quadrotor;stepinfo-3d;flight-plan-parser;attitude-controller-planner;motor-model-dynamics;imc-tuning-rules;vehicle-dynamics;pid-controller;milp-solver-workflow,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/drone-planning-control/hybrid_bm25_neural_top10,blocked
drone-planning-control,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_plus_5_noise/environment/skills,11,6,6,1.0,5,7004,position-controller-trajectory-planner;stepinfo-3d;flight-plan-parser;attitude-controller-planner;motor-model-dynamics;plot-quadrotor;marker;pcap-analysis;glm-basics;yaml-config;civ6lib,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/drone-planning-control/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/drone-planning-control/oracle_gold_plus_5_noise,blocked
fix-erlang-ssh-cve,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/no_skill/environment/skills,0,0,6,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/no_skill,blocked
fix-erlang-ssh-cve,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all/environment/skills,6,6,6,1.0,0,7228,erlang-concurrency;senior-security;ssh-penetration-testing;erlang-otp-behaviors;erlang-distribution;find-bugs,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/oracle_gold_all,blocked
fix-erlang-ssh-cve,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10/environment/skills,10,4,6,0.0,6,13489,erlang-otp-behaviors;ssh-penetration-testing;erlang-distribution;erlang-concurrency;fuzzing-python;lean4-theorem-proving;react-best-practices;jackson-security;lean4-memories;obspy-datacenter-client,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/bm25_top10,blocked
fix-erlang-ssh-cve,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10/environment/skills,10,5,6,0.0,5,14540,erlang-otp-behaviors;ssh-penetration-testing;erlang-concurrency;erlang-distribution;find-bugs;fuzzing-python;jackson-security;senior-java;testing-python;lean4-memories,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/hybrid_bm25_neural_top10,blocked
fix-erlang-ssh-cve,oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise,data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise/environment/skills,11,6,6,1.0,5,10859,erlang-concurrency;senior-security;ssh-penetration-testing;erlang-otp-behaviors;erlang-distribution;find-bugs;d3-visualization;meteorology-driver-classification;transaction-trace-analysis;scipy-curve-fit;docx,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/fix-erlang-ssh-cve/oracle_gold_plus_5_noise/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/fix-erlang-ssh-cve/oracle_gold_plus_5_noise,blocked
financial-modeling-qa,no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/no_skill,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/no_skill/environment/skills,0,0,2,0.0,0,0,,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/no_skill --agent codex-acp --model gpt-5 --skill-mode no-skill --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/no_skill,blocked
financial-modeling-qa,oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all/environment/skills,2,2,2,1.0,0,2449,pdf;xlsx,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/oracle_gold_all/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/oracle_gold_all,blocked
financial-modeling-qa,bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10/environment/skills,10,1,2,0.0,9,16733,enterprise-artifact-search;planning-with-files;xlsx;xlsx-2;pptx;file-organizer;discover-important-function;position-controller-trajectory-planner;ordered-window-sequencing-mip;openai-vision,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/bm25_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/bm25_top10,blocked
financial-modeling-qa,hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10,data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10/environment/skills,10,1,2,0.0,9,13191,xlsx;xlsx-2;xlsx-3;ordered-window-sequencing-mip;pcap-analysis;docx;power-flow-data;dialogue-graph;civ6lib;powerlifting,bench eval run --tasks-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10 --agent codex-acp --model gpt-5 --skill-mode with-skill --skills-dir data/experiments/rq4_agent_passrate_protocol/task_packages/financial-modeling-qa/hybrid_bm25_neural_top10/environment/skills --sandbox docker --jobs-dir data/experiments/rq4_agent_passrate_protocol/jobs/financial-modeling-qa/hybrid_bm25_neural_top10,blocked
