condition_id,task,distractor_type,noise_count,gold_count,menu_size,gold_fraction,gold_positions
3d-scan-calc|shared|n0,3d-scan-calc,shared,0,1,1,1.0,1
3d-scan-calc|random|n2,3d-scan-calc,random,2,1,3,0.3333333333333333,1
3d-scan-calc|hard|n2,3d-scan-calc,hard,2,1,3,0.3333333333333333,3
3d-scan-calc|random|n5,3d-scan-calc,random,5,1,6,0.16666666666666666,1
3d-scan-calc|hard|n5,3d-scan-calc,hard,5,1,6,0.16666666666666666,4
3d-scan-calc|random|n10,3d-scan-calc,random,10,1,11,0.09090909090909091,4
3d-scan-calc|hard|n10,3d-scan-calc,hard,10,1,11,0.09090909090909091,6
3d-scan-calc|random|n20,3d-scan-calc,random,20,1,21,0.047619047619047616,9
3d-scan-calc|hard|n20,3d-scan-calc,hard,20,1,21,0.047619047619047616,9
adaptive-cruise-control|shared|n0,adaptive-cruise-control,shared,0,5,5,1.0,1;2;3;4;5
adaptive-cruise-control|random|n2,adaptive-cruise-control,random,2,5,7,0.7142857142857143,1;2;3;6;7
adaptive-cruise-control|hard|n2,adaptive-cruise-control,hard,2,5,7,0.7142857142857143,1;2;3;5;7
adaptive-cruise-control|random|n5,adaptive-cruise-control,random,5,5,10,0.5,1;2;3;7;8
adaptive-cruise-control|hard|n5,adaptive-cruise-control,hard,5,5,10,0.5,1;2;4;7;9
adaptive-cruise-control|random|n10,adaptive-cruise-control,random,10,5,15,0.3333333333333333,2;3;6;11;13
adaptive-cruise-control|hard|n10,adaptive-cruise-control,hard,10,5,15,0.3333333333333333,2;3;5;9;11
adaptive-cruise-control|random|n20,adaptive-cruise-control,random,20,5,25,0.2,4;5;9;15;18
adaptive-cruise-control|hard|n20,adaptive-cruise-control,hard,20,5,25,0.2,3;4;7;16;18
azure-bgp-oscillation-route-leak|shared|n0,azure-bgp-oscillation-route-leak,shared,0,1,1,1.0,1
azure-bgp-oscillation-route-leak|random|n2,azure-bgp-oscillation-route-leak,random,2,1,3,0.3333333333333333,3
azure-bgp-oscillation-route-leak|hard|n2,azure-bgp-oscillation-route-leak,hard,2,1,3,0.3333333333333333,1
azure-bgp-oscillation-route-leak|random|n5,azure-bgp-oscillation-route-leak,random,5,1,6,0.16666666666666666,4
azure-bgp-oscillation-route-leak|hard|n5,azure-bgp-oscillation-route-leak,hard,5,1,6,0.16666666666666666,4
azure-bgp-oscillation-route-leak|random|n10,azure-bgp-oscillation-route-leak,random,10,1,11,0.09090909090909091,7
azure-bgp-oscillation-route-leak|hard|n10,azure-bgp-oscillation-route-leak,hard,10,1,11,0.09090909090909091,6
azure-bgp-oscillation-route-leak|random|n20,azure-bgp-oscillation-route-leak,random,20,1,21,0.047619047619047616,14
azure-bgp-oscillation-route-leak|hard|n20,azure-bgp-oscillation-route-leak,hard,20,1,21,0.047619047619047616,10
citation-check|shared|n0,citation-check,shared,0,1,1,1.0,1
citation-check|random|n2,citation-check,random,2,1,3,0.3333333333333333,1
citation-check|hard|n2,citation-check,hard,2,1,3,0.3333333333333333,2
citation-check|random|n5,citation-check,random,5,1,6,0.16666666666666666,2
citation-check|hard|n5,citation-check,hard,5,1,6,0.16666666666666666,3
citation-check|random|n10,citation-check,random,10,1,11,0.09090909090909091,4
citation-check|hard|n10,citation-check,hard,10,1,11,0.09090909090909091,4
citation-check|random|n20,citation-check,random,20,1,21,0.047619047619047616,8
citation-check|hard|n20,citation-check,hard,20,1,21,0.047619047619047616,6
civ6-adjacency-optimizer|shared|n0,civ6-adjacency-optimizer,shared,0,4,4,1.0,1;2;3;4
civ6-adjacency-optimizer|random|n2,civ6-adjacency-optimizer,random,2,4,6,0.6666666666666666,1;2;4;5
civ6-adjacency-optimizer|hard|n2,civ6-adjacency-optimizer,hard,2,4,6,0.6666666666666666,1;3;5;6
civ6-adjacency-optimizer|random|n5,civ6-adjacency-optimizer,random,5,4,9,0.4444444444444444,2;4;6;7
civ6-adjacency-optimizer|hard|n5,civ6-adjacency-optimizer,hard,5,4,9,0.4444444444444444,1;6;8;9
civ6-adjacency-optimizer|random|n10,civ6-adjacency-optimizer,random,10,4,14,0.2857142857142857,2;6;9;12
civ6-adjacency-optimizer|hard|n10,civ6-adjacency-optimizer,hard,10,4,14,0.2857142857142857,1;7;12;14
civ6-adjacency-optimizer|random|n20,civ6-adjacency-optimizer,random,20,4,24,0.16666666666666666,2;9;15;19
civ6-adjacency-optimizer|hard|n20,civ6-adjacency-optimizer,hard,20,4,24,0.16666666666666666,2;10;19;22
court-form-filling|shared|n0,court-form-filling,shared,0,1,1,1.0,1
court-form-filling|random|n2,court-form-filling,random,2,1,3,0.3333333333333333,2
court-form-filling|hard|n2,court-form-filling,hard,2,1,3,0.3333333333333333,3
court-form-filling|random|n5,court-form-filling,random,5,1,6,0.16666666666666666,5
court-form-filling|hard|n5,court-form-filling,hard,5,1,6,0.16666666666666666,6
court-form-filling|random|n10,court-form-filling,random,10,1,11,0.09090909090909091,8
court-form-filling|hard|n10,court-form-filling,hard,10,1,11,0.09090909090909091,9
court-form-filling|random|n20,court-form-filling,random,20,1,21,0.047619047619047616,15
court-form-filling|hard|n20,court-form-filling,hard,20,1,21,0.047619047619047616,18
crystallographic-wyckoff-position-analysis|shared|n0,crystallographic-wyckoff-position-analysis,shared,0,2,2,1.0,1;2
crystallographic-wyckoff-position-analysis|random|n2,crystallographic-wyckoff-position-analysis,random,2,2,4,0.5,1;3
crystallographic-wyckoff-position-analysis|hard|n2,crystallographic-wyckoff-position-analysis,hard,2,2,4,0.5,1;2
crystallographic-wyckoff-position-analysis|random|n5,crystallographic-wyckoff-position-analysis,random,5,2,7,0.2857142857142857,1;4
crystallographic-wyckoff-position-analysis|hard|n5,crystallographic-wyckoff-position-analysis,hard,5,2,7,0.2857142857142857,1;3
crystallographic-wyckoff-position-analysis|random|n10,crystallographic-wyckoff-position-analysis,random,10,2,12,0.16666666666666666,3;7
crystallographic-wyckoff-position-analysis|hard|n10,crystallographic-wyckoff-position-analysis,hard,10,2,12,0.16666666666666666,3;5
crystallographic-wyckoff-position-analysis|random|n20,crystallographic-wyckoff-position-analysis,random,20,2,22,0.09090909090909091,5;10
crystallographic-wyckoff-position-analysis|hard|n20,crystallographic-wyckoff-position-analysis,hard,20,2,22,0.09090909090909091,4;8
dapt-intrusion-detection|shared|n0,dapt-intrusion-detection,shared,0,2,2,1.0,1;2
dapt-intrusion-detection|random|n2,dapt-intrusion-detection,random,2,2,4,0.5,3;4
dapt-intrusion-detection|hard|n2,dapt-intrusion-detection,hard,2,2,4,0.5,1;2
dapt-intrusion-detection|random|n5,dapt-intrusion-detection,random,5,2,7,0.2857142857142857,5;6
dapt-intrusion-detection|hard|n5,dapt-intrusion-detection,hard,5,2,7,0.2857142857142857,1;3
dapt-intrusion-detection|random|n10,dapt-intrusion-detection,random,10,2,12,0.16666666666666666,7;9
dapt-intrusion-detection|hard|n10,dapt-intrusion-detection,hard,10,2,12,0.16666666666666666,2;8
dapt-intrusion-detection|random|n20,dapt-intrusion-detection,random,20,2,22,0.09090909090909091,13;18
dapt-intrusion-detection|hard|n20,dapt-intrusion-detection,hard,20,2,22,0.09090909090909091,6;17
data-to-d3|shared|n0,data-to-d3,shared,0,1,1,1.0,1
data-to-d3|random|n2,data-to-d3,random,2,1,3,0.3333333333333333,1
data-to-d3|hard|n2,data-to-d3,hard,2,1,3,0.3333333333333333,1
data-to-d3|random|n5,data-to-d3,random,5,1,6,0.16666666666666666,1
data-to-d3|hard|n5,data-to-d3,hard,5,1,6,0.16666666666666666,1
data-to-d3|random|n10,data-to-d3,random,10,1,11,0.09090909090909091,2
data-to-d3|hard|n10,data-to-d3,hard,10,1,11,0.09090909090909091,2
data-to-d3|random|n20,data-to-d3,random,20,1,21,0.047619047619047616,2
data-to-d3|hard|n20,data-to-d3,hard,20,1,21,0.047619047619047616,4
dialogue-parser|shared|n0,dialogue-parser,shared,0,1,1,1.0,1
dialogue-parser|random|n2,dialogue-parser,random,2,1,3,0.3333333333333333,1
dialogue-parser|hard|n2,dialogue-parser,hard,2,1,3,0.3333333333333333,1
dialogue-parser|random|n5,dialogue-parser,random,5,1,6,0.16666666666666666,1
dialogue-parser|hard|n5,dialogue-parser,hard,5,1,6,0.16666666666666666,1
dialogue-parser|random|n10,dialogue-parser,random,10,1,11,0.09090909090909091,1
dialogue-parser|hard|n10,dialogue-parser,hard,10,1,11,0.09090909090909091,2
dialogue-parser|random|n20,dialogue-parser,random,20,1,21,0.047619047619047616,1
dialogue-parser|hard|n20,dialogue-parser,hard,20,1,21,0.047619047619047616,4
dynamic-object-aware-egomotion|shared|n0,dynamic-object-aware-egomotion,shared,0,4,4,1.0,1;2;3;4
dynamic-object-aware-egomotion|random|n2,dynamic-object-aware-egomotion,random,2,4,6,0.6666666666666666,1;4;5;6
dynamic-object-aware-egomotion|hard|n2,dynamic-object-aware-egomotion,hard,2,4,6,0.6666666666666666,1;3;4;6
dynamic-object-aware-egomotion|random|n5,dynamic-object-aware-egomotion,random,5,4,9,0.4444444444444444,1;7;8;9
dynamic-object-aware-egomotion|hard|n5,dynamic-object-aware-egomotion,hard,5,4,9,0.4444444444444444,1;6;7;9
dynamic-object-aware-egomotion|random|n10,dynamic-object-aware-egomotion,random,10,4,14,0.2857142857142857,1;11;12;14
dynamic-object-aware-egomotion|hard|n10,dynamic-object-aware-egomotion,hard,10,4,14,0.2857142857142857,1;10;12;14
dynamic-object-aware-egomotion|random|n20,dynamic-object-aware-egomotion,random,20,4,24,0.16666666666666666,2;20;22;24
dynamic-object-aware-egomotion|hard|n20,dynamic-object-aware-egomotion,hard,20,4,24,0.16666666666666666,2;20;22;24
earthquake-phase-association|shared|n0,earthquake-phase-association,shared,0,4,4,1.0,1;2;3;4
earthquake-phase-association|random|n2,earthquake-phase-association,random,2,4,6,0.6666666666666666,2;3;5;6
earthquake-phase-association|hard|n2,earthquake-phase-association,hard,2,4,6,0.6666666666666666,2;3;4;5
earthquake-phase-association|random|n5,earthquake-phase-association,random,5,4,9,0.4444444444444444,3;4;6;7
earthquake-phase-association|hard|n5,earthquake-phase-association,hard,5,4,9,0.4444444444444444,3;4;5;6
earthquake-phase-association|random|n10,earthquake-phase-association,random,10,4,14,0.2857142857142857,4;5;8;9
earthquake-phase-association|hard|n10,earthquake-phase-association,hard,10,4,14,0.2857142857142857,3;4;6;7
earthquake-phase-association|random|n20,earthquake-phase-association,random,20,4,24,0.16666666666666666,9;10;14;15
earthquake-phase-association|hard|n20,earthquake-phase-association,hard,20,4,24,0.16666666666666666,4;6;8;9
earthquake-plate-calculation|shared|n0,earthquake-plate-calculation,shared,0,1,1,1.0,1
earthquake-plate-calculation|random|n2,earthquake-plate-calculation,random,2,1,3,0.3333333333333333,2
earthquake-plate-calculation|hard|n2,earthquake-plate-calculation,hard,2,1,3,0.3333333333333333,1
earthquake-plate-calculation|random|n5,earthquake-plate-calculation,random,5,1,6,0.16666666666666666,3
earthquake-plate-calculation|hard|n5,earthquake-plate-calculation,hard,5,1,6,0.16666666666666666,3
earthquake-plate-calculation|random|n10,earthquake-plate-calculation,random,10,1,11,0.09090909090909091,6
earthquake-plate-calculation|hard|n10,earthquake-plate-calculation,hard,10,1,11,0.09090909090909091,4
earthquake-plate-calculation|random|n20,earthquake-plate-calculation,random,20,1,21,0.047619047619047616,13
earthquake-plate-calculation|hard|n20,earthquake-plate-calculation,hard,20,1,21,0.047619047619047616,13
econ-detrending-correlation|shared|n0,econ-detrending-correlation,shared,0,1,1,1.0,1
econ-detrending-correlation|random|n2,econ-detrending-correlation,random,2,1,3,0.3333333333333333,3
econ-detrending-correlation|hard|n2,econ-detrending-correlation,hard,2,1,3,0.3333333333333333,2
econ-detrending-correlation|random|n5,econ-detrending-correlation,random,5,1,6,0.16666666666666666,5
econ-detrending-correlation|hard|n5,econ-detrending-correlation,hard,5,1,6,0.16666666666666666,5
econ-detrending-correlation|random|n10,econ-detrending-correlation,random,10,1,11,0.09090909090909091,9
econ-detrending-correlation|hard|n10,econ-detrending-correlation,hard,10,1,11,0.09090909090909091,7
econ-detrending-correlation|random|n20,econ-detrending-correlation,random,20,1,21,0.047619047619047616,16
econ-detrending-correlation|hard|n20,econ-detrending-correlation,hard,20,1,21,0.047619047619047616,12
energy-ac-optimal-power-flow|shared|n0,energy-ac-optimal-power-flow,shared,0,3,3,1.0,1;2;3
energy-ac-optimal-power-flow|random|n2,energy-ac-optimal-power-flow,random,2,3,5,0.6,1;4;5
energy-ac-optimal-power-flow|hard|n2,energy-ac-optimal-power-flow,hard,2,3,5,0.6,1;4;5
energy-ac-optimal-power-flow|random|n5,energy-ac-optimal-power-flow,random,5,3,8,0.375,1;5;8
energy-ac-optimal-power-flow|hard|n5,energy-ac-optimal-power-flow,hard,5,3,8,0.375,1;7;8
energy-ac-optimal-power-flow|random|n10,energy-ac-optimal-power-flow,random,10,3,13,0.23076923076923078,1;9;13
energy-ac-optimal-power-flow|hard|n10,energy-ac-optimal-power-flow,hard,10,3,13,0.23076923076923078,1;10;13
energy-ac-optimal-power-flow|random|n20,energy-ac-optimal-power-flow,random,20,3,23,0.13043478260869565,2;18;23
energy-ac-optimal-power-flow|hard|n20,energy-ac-optimal-power-flow,hard,20,3,23,0.13043478260869565,2;19;23
energy-market-pricing|shared|n0,energy-market-pricing,shared,0,4,4,1.0,1;2;3;4
energy-market-pricing|random|n2,energy-market-pricing,random,2,4,6,0.6666666666666666,1;2;3;4
energy-market-pricing|hard|n2,energy-market-pricing,hard,2,4,6,0.6666666666666666,1;2;3;4
energy-market-pricing|random|n5,energy-market-pricing,random,5,4,9,0.4444444444444444,1;2;3;4
energy-market-pricing|hard|n5,energy-market-pricing,hard,5,4,9,0.4444444444444444,1;2;3;5
energy-market-pricing|random|n10,energy-market-pricing,random,10,4,14,0.2857142857142857,1;2;3;4
energy-market-pricing|hard|n10,energy-market-pricing,hard,10,4,14,0.2857142857142857,1;2;3;5
energy-market-pricing|random|n20,energy-market-pricing,random,20,4,24,0.16666666666666666,1;2;3;4
energy-market-pricing|hard|n20,energy-market-pricing,hard,20,4,24,0.16666666666666666,2;3;4;7
enterprise-information-search|shared|n0,enterprise-information-search,shared,0,1,1,1.0,1
enterprise-information-search|random|n2,enterprise-information-search,random,2,1,3,0.3333333333333333,2
enterprise-information-search|hard|n2,enterprise-information-search,hard,2,1,3,0.3333333333333333,2
enterprise-information-search|random|n5,enterprise-information-search,random,5,1,6,0.16666666666666666,2
enterprise-information-search|hard|n5,enterprise-information-search,hard,5,1,6,0.16666666666666666,3
enterprise-information-search|random|n10,enterprise-information-search,random,10,1,11,0.09090909090909091,4
enterprise-information-search|hard|n10,enterprise-information-search,hard,10,1,11,0.09090909090909091,6
enterprise-information-search|random|n20,enterprise-information-search,random,20,1,21,0.047619047619047616,11
enterprise-information-search|hard|n20,enterprise-information-search,hard,20,1,21,0.047619047619047616,12
exceltable-in-ppt|shared|n0,exceltable-in-ppt,shared,0,2,2,1.0,1;2
exceltable-in-ppt|random|n2,exceltable-in-ppt,random,2,2,4,0.5,2;4
exceltable-in-ppt|hard|n2,exceltable-in-ppt,hard,2,2,4,0.5,1;4
exceltable-in-ppt|random|n5,exceltable-in-ppt,random,5,2,7,0.2857142857142857,2;7
exceltable-in-ppt|hard|n5,exceltable-in-ppt,hard,5,2,7,0.2857142857142857,1;7
exceltable-in-ppt|random|n10,exceltable-in-ppt,random,10,2,12,0.16666666666666666,6;12
exceltable-in-ppt|hard|n10,exceltable-in-ppt,hard,10,2,12,0.16666666666666666,3;12
exceltable-in-ppt|random|n20,exceltable-in-ppt,random,20,2,22,0.09090909090909091,8;22
exceltable-in-ppt|hard|n20,exceltable-in-ppt,hard,20,2,22,0.09090909090909091,7;21
exoplanet-detection-period|shared|n0,exoplanet-detection-period,shared,0,5,5,1.0,1;2;3;4;5
exoplanet-detection-period|random|n2,exoplanet-detection-period,random,2,5,7,0.7142857142857143,1;4;5;6;7
exoplanet-detection-period|hard|n2,exoplanet-detection-period,hard,2,5,7,0.7142857142857143,1;3;4;6;7
exoplanet-detection-period|random|n5,exoplanet-detection-period,random,5,5,10,0.5,1;5;7;9;10
exoplanet-detection-period|hard|n5,exoplanet-detection-period,hard,5,5,10,0.5,1;5;7;9;10
exoplanet-detection-period|random|n10,exoplanet-detection-period,random,10,5,15,0.3333333333333333,1;7;11;13;15
exoplanet-detection-period|hard|n10,exoplanet-detection-period,hard,10,5,15,0.3333333333333333,2;8;11;13;15
exoplanet-detection-period|random|n20,exoplanet-detection-period,random,20,5,25,0.2,2;12;17;21;24
exoplanet-detection-period|hard|n20,exoplanet-detection-period,hard,20,5,25,0.2,3;15;19;21;24
financial-modeling-qa|shared|n0,financial-modeling-qa,shared,0,2,2,1.0,1;2
financial-modeling-qa|random|n2,financial-modeling-qa,random,2,2,4,0.5,1;2
financial-modeling-qa|hard|n2,financial-modeling-qa,hard,2,2,4,0.5,1;2
financial-modeling-qa|random|n5,financial-modeling-qa,random,5,2,7,0.2857142857142857,1;2
financial-modeling-qa|hard|n5,financial-modeling-qa,hard,5,2,7,0.2857142857142857,1;2
financial-modeling-qa|random|n10,financial-modeling-qa,random,10,2,12,0.16666666666666666,1;3
financial-modeling-qa|hard|n10,financial-modeling-qa,hard,10,2,12,0.16666666666666666,1;2
financial-modeling-qa|random|n20,financial-modeling-qa,random,20,2,22,0.09090909090909091,1;5
financial-modeling-qa|hard|n20,financial-modeling-qa,hard,20,2,22,0.09090909090909091,2;3
find-topk-similiar-chemicals|shared|n0,find-topk-similiar-chemicals,shared,0,3,3,1.0,1;2;3
find-topk-similiar-chemicals|random|n2,find-topk-similiar-chemicals,random,2,3,5,0.6,1;2;4
find-topk-similiar-chemicals|hard|n2,find-topk-similiar-chemicals,hard,2,3,5,0.6,1;3;5
find-topk-similiar-chemicals|random|n5,find-topk-similiar-chemicals,random,5,3,8,0.375,1;3;7
find-topk-similiar-chemicals|hard|n5,find-topk-similiar-chemicals,hard,5,3,8,0.375,1;5;7
find-topk-similiar-chemicals|random|n10,find-topk-similiar-chemicals,random,10,3,13,0.23076923076923078,1;5;11
find-topk-similiar-chemicals|hard|n10,find-topk-similiar-chemicals,hard,10,3,13,0.23076923076923078,1;7;12
find-topk-similiar-chemicals|random|n20,find-topk-similiar-chemicals,random,20,3,23,0.13043478260869565,2;8;18
find-topk-similiar-chemicals|hard|n20,find-topk-similiar-chemicals,hard,20,3,23,0.13043478260869565,2;10;21
fix-build-agentops|shared|n0,fix-build-agentops,shared,0,4,4,1.0,1;2;3;4
fix-build-agentops|random|n2,fix-build-agentops,random,2,4,6,0.6666666666666666,2;3;4;5
fix-build-agentops|hard|n2,fix-build-agentops,hard,2,4,6,0.6666666666666666,2;3;4;6
fix-build-agentops|random|n5,fix-build-agentops,random,5,4,9,0.4444444444444444,2;4;6;7
fix-build-agentops|hard|n5,fix-build-agentops,hard,5,4,9,0.4444444444444444,2;4;5;7
fix-build-agentops|random|n10,fix-build-agentops,random,10,4,14,0.2857142857142857,4;7;9;10
fix-build-agentops|hard|n10,fix-build-agentops,hard,10,4,14,0.2857142857142857,2;5;6;8
fix-build-agentops|random|n20,fix-build-agentops,random,20,4,24,0.16666666666666666,5;11;13;15
fix-build-agentops|hard|n20,fix-build-agentops,hard,20,4,24,0.16666666666666666,3;8;9;14
fix-build-google-auto|shared|n0,fix-build-google-auto,shared,0,3,3,1.0,1;2;3
fix-build-google-auto|random|n2,fix-build-google-auto,random,2,3,5,0.6,1;3;4
fix-build-google-auto|hard|n2,fix-build-google-auto,hard,2,3,5,0.6,1;3;4
fix-build-google-auto|random|n5,fix-build-google-auto,random,5,3,8,0.375,1;6;7
fix-build-google-auto|hard|n5,fix-build-google-auto,hard,5,3,8,0.375,1;6;7
fix-build-google-auto|random|n10,fix-build-google-auto,random,10,3,13,0.23076923076923078,2;10;11
fix-build-google-auto|hard|n10,fix-build-google-auto,hard,10,3,13,0.23076923076923078,2;10;11
fix-build-google-auto|random|n20,fix-build-google-auto,random,20,3,23,0.13043478260869565,3;19;20
fix-build-google-auto|hard|n20,fix-build-google-auto,hard,20,3,23,0.13043478260869565,3;18;19
fix-druid-loophole-cve|shared|n0,fix-druid-loophole-cve,shared,0,2,2,1.0,1;2
fix-druid-loophole-cve|random|n2,fix-druid-loophole-cve,random,2,2,4,0.5,2;4
fix-druid-loophole-cve|hard|n2,fix-druid-loophole-cve,hard,2,2,4,0.5,2;4
fix-druid-loophole-cve|random|n5,fix-druid-loophole-cve,random,5,2,7,0.2857142857142857,3;7
fix-druid-loophole-cve|hard|n5,fix-druid-loophole-cve,hard,5,2,7,0.2857142857142857,3;7
fix-druid-loophole-cve|random|n10,fix-druid-loophole-cve,random,10,2,12,0.16666666666666666,5;11
fix-druid-loophole-cve|hard|n10,fix-druid-loophole-cve,hard,10,2,12,0.16666666666666666,6;11
fix-druid-loophole-cve|random|n20,fix-druid-loophole-cve,random,20,2,22,0.09090909090909091,6;17
fix-druid-loophole-cve|hard|n20,fix-druid-loophole-cve,hard,20,2,22,0.09090909090909091,11;20
fix-erlang-ssh-cve|shared|n0,fix-erlang-ssh-cve,shared,0,6,6,1.0,1;2;3;4;5;6
fix-erlang-ssh-cve|random|n2,fix-erlang-ssh-cve,random,2,6,8,0.75,1;2;3;4;5;7
fix-erlang-ssh-cve|hard|n2,fix-erlang-ssh-cve,hard,2,6,8,0.75,2;4;5;6;7;8
fix-erlang-ssh-cve|random|n5,fix-erlang-ssh-cve,random,5,6,11,0.5454545454545454,1;2;3;5;6;10
fix-erlang-ssh-cve|hard|n5,fix-erlang-ssh-cve,hard,5,6,11,0.5454545454545454,3;5;6;8;9;11
fix-erlang-ssh-cve|random|n10,fix-erlang-ssh-cve,random,10,6,16,0.375,1;2;4;6;7;12
fix-erlang-ssh-cve|hard|n10,fix-erlang-ssh-cve,hard,10,6,16,0.375,5;7;9;12;13;15
fix-erlang-ssh-cve|random|n20,fix-erlang-ssh-cve,random,20,6,26,0.23076923076923078,3;4;7;11;12;18
fix-erlang-ssh-cve|hard|n20,fix-erlang-ssh-cve,hard,20,6,26,0.23076923076923078,6;11;13;18;19;25
fix-visual-stability|shared|n0,fix-visual-stability,shared,0,3,3,1.0,1;2;3
fix-visual-stability|random|n2,fix-visual-stability,random,2,3,5,0.6,1;3;5
fix-visual-stability|hard|n2,fix-visual-stability,hard,2,3,5,0.6,1;3;5
fix-visual-stability|random|n5,fix-visual-stability,random,5,3,8,0.375,2;6;8
fix-visual-stability|hard|n5,fix-visual-stability,hard,5,3,8,0.375,1;4;6
fix-visual-stability|random|n10,fix-visual-stability,random,10,3,13,0.23076923076923078,3;9;13
fix-visual-stability|hard|n10,fix-visual-stability,hard,10,3,13,0.23076923076923078,1;6;11
fix-visual-stability|random|n20,fix-visual-stability,random,20,3,23,0.13043478260869565,6;15;21
fix-visual-stability|hard|n20,fix-visual-stability,hard,20,3,23,0.13043478260869565,2;16;21
flink-query|shared|n0,flink-query,shared,0,2,2,1.0,1;2
flink-query|random|n2,flink-query,random,2,2,4,0.5,1;2
flink-query|hard|n2,flink-query,hard,2,2,4,0.5,2;3
flink-query|random|n5,flink-query,random,5,2,7,0.2857142857142857,3;4
flink-query|hard|n5,flink-query,hard,5,2,7,0.2857142857142857,3;4
flink-query|random|n10,flink-query,random,10,2,12,0.16666666666666666,3;4
flink-query|hard|n10,flink-query,hard,10,2,12,0.16666666666666666,4;5
flink-query|random|n20,flink-query,random,20,2,22,0.09090909090909091,4;5
flink-query|hard|n20,flink-query,hard,20,2,22,0.09090909090909091,6;7
flood-risk-analysis|shared|n0,flood-risk-analysis,shared,0,3,3,1.0,1;2;3
flood-risk-analysis|random|n2,flood-risk-analysis,random,2,3,5,0.6,1;3;4
flood-risk-analysis|hard|n2,flood-risk-analysis,hard,2,3,5,0.6,2;3;5
flood-risk-analysis|random|n5,flood-risk-analysis,random,5,3,8,0.375,1;5;7
flood-risk-analysis|hard|n5,flood-risk-analysis,hard,5,3,8,0.375,2;3;8
flood-risk-analysis|random|n10,flood-risk-analysis,random,10,3,13,0.23076923076923078,1;6;11
flood-risk-analysis|hard|n10,flood-risk-analysis,hard,10,3,13,0.23076923076923078,3;5;12
flood-risk-analysis|random|n20,flood-risk-analysis,random,20,3,23,0.13043478260869565,4;12;19
flood-risk-analysis|hard|n20,flood-risk-analysis,hard,20,3,23,0.13043478260869565,4;9;21
gh-repo-analytics|shared|n0,gh-repo-analytics,shared,0,1,1,1.0,1
gh-repo-analytics|random|n2,gh-repo-analytics,random,2,1,3,0.3333333333333333,3
gh-repo-analytics|hard|n2,gh-repo-analytics,hard,2,1,3,0.3333333333333333,3
gh-repo-analytics|random|n5,gh-repo-analytics,random,5,1,6,0.16666666666666666,6
gh-repo-analytics|hard|n5,gh-repo-analytics,hard,5,1,6,0.16666666666666666,6
gh-repo-analytics|random|n10,gh-repo-analytics,random,10,1,11,0.09090909090909091,11
